scraped_at,chart_label,chart_id,week_ending,series,Indexed value*,Year over year,Week over week,value
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,07/05/2025,Professional,,,,31.4
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,07/12/2025,Professional,,,,34.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,07/19/2025,Professional,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,07/26/2025,Professional,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,08/02/2025,Professional,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,08/09/2025,Professional,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,08/16/2025,Professional,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,08/23/2025,Professional,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,08/30/2025,Professional,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,09/06/2025,Professional,,,,31.8
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,09/13/2025,Professional,,,,34.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,09/20/2025,Professional,,,,34.9
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,09/27/2025,Professional,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,10/04/2025,Professional,,,,34.8
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,10/11/2025,Professional,,,,34.9
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,10/18/2025,Professional,,,,34.4
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,10/25/2025,Professional,,,,34.8
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/01/2025,Professional,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/08/2025,Professional,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/15/2025,Professional,,,,34.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/22/2025,Professional,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/29/2025,Professional,,,,29.4
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/06/2025,Professional,,,,33.4
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/13/2025,Professional,,,,34.7
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/20/2025,Professional,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/27/2025,Professional,,,,28.7
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/03/2026,Professional,,,,28
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/10/2026,Professional,,,,33.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/17/2026,Professional,,,,34.8
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/24/2026,Professional,,,,33.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/31/2026,Professional,,,,34.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/07/2026,Professional,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/14/2026,Professional,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/21/2026,Professional,,,,34
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/28/2026,Professional,,,,34.8
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/07/2026,Professional,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/14/2026,Professional,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/21/2026,Professional,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/19/2019,US,,,,100
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/26/2019,US,,,,95
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/02/2019,US,,,,97
